"product id","product title","product urls"
5969,"LG 7.5 kg with Roller Jet Pulsator + Soak Semi Automatic Top Load Red, White(P7515SRAZ)","[['https://www.amazon.in/LG-Semi-Automatic-P7515SRAZ-Burgundy-Pulsator/dp/B09CMWCX8H'], ['https://www.flipkart.com/lg-7-5-kg-roller-jet-pulsator-soak-semi-automatic-top-load-red-white/p/itm705d58fff1db4']]"
5992,"LG 9 kg with Roller Jet Pulsator Semi Automatic Top Load Grey, White(P9040RGAZ)","[['https://www.amazon.in/LG-Semi-Automatic-Loading-Washing-P9040RGAZ/dp/B07WSQDKB5'], ['https://www.flipkart.com/lg-9-kg-roller-jet-pulsator-semi-automatic-top-load-grey-white/p/itm9c73ab8e582c1'], ['https://www.vijaysales.com/lg-p9040rgaz-9kg-semi-automatic-washing-machine-gray/11336']]"
6059,"BOSCH 7 kg Drive Motor, Anti Tangle, Anti Vibration Fully Automatic Front Load with In-built Heater Grey(WAJ2416SIN)","[['https://www.amazon.in/Bosch-Inverter-Control-Automatic-Loading/dp/B08SR372S7'], ['https://www.flipkart.com/bosch-7-kg-drivemotor-antitangle-antivibration-rpm-fully-automatic-front-load-in-built-heater-grey/p/itm494940dbabb9c'], ['https://www.flipkart.com/bosch-7-kg-drivemotor-antitangle-antivibration-1200rpm-fully-automatic-front-load-in-built-heater-grey/p/itm494940dbabb9c']]"
731661,Panasonic 6 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey(NA-F60LF1HRB),"[['https://www.amazon.in/Panasonic-Fully-Automatic-Loading-Washing-NA-F60LF1HRB/dp/B08B9756FB'], ['https://www.flipkart.com/panasonic-6-kg-5-star-aquabeat-wash-fully-automatic-top-load-grey/p/itm909929dc404cc']]"
731662,"Panasonic 6.5 kg 5 star Semi Automatic Top Load White, Blue(NA-W65E5ARB)","[['https://www.amazon.in/Panasonic-Semi-Automatic-Loading-NA-W65E5ARB-Powerful/dp/B08B98715P'], ['https://www.flipkart.com/panasonic-6-5-kg-5-star-semi-automatic-top-load-white-blue/p/itm58d9c33df776c'], ['https://www.amazon.in/Panasonic-Semi-Automatic-Loading-NA-W65E5ARB-Powerful/dp/B08B98715P']]"
731663,"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White(P7020NGAZ)","[['https://www.amazon.in/LG-P7020NGAZ-Fully-Automatic-Washing-Machine/dp/B09DD573SY'], ['https://www.flipkart.com/lg-7-kg-5-star-rating-wind-jet-dry-semi-automatic-top-load-grey-white/p/itmc9d497e9b58bb'], ['https://www.reliancedigital.in/lg-7-kg-top-load-semi-automatic-washing-machine-p7020ngaz/p/492664434']]"
731664,"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon(MQSA60H5M)",[['https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itm125a12d8f3fef']]
731665,SAMSUNG 6.5 kg Diamond Drum feature Fully Automatic Top Load Silver(WA65A4002VS/TL),"[['https://www.samsung.com/in/washers-and-dryers/washing-machines/wa4000hh-top-loading-washer-6-5kg-gray-wa65a4002vs-tl/'], ['https://www.amazon.in/Samsung-Fully-Automatic-WA65A4002VS-TL-Technology/dp/B08GY3PZQF'], ['https://www.flipkart.com/samsung-6-5-kg-diamond-drum-feature-fully-automatic-top-load-silver/p/itme1ba4fde1563a'], ['https://www.samsung.com/in/washers-and-dryers/washing-machines-by-capacity/6kg-6-9kg/'], ['https://www.croma.com/samsung-6-5-kg-inverter-fully-automatic-top-load-washing-machine-wa65a4002vs-tl-diamond-drum-imperial-silver-/p/259354']]"
731666,"realme TechLife 8.5 kg with Semi Automatic Top Load Grey, Black(RMSA855NNNDG)",[['https://www.flipkart.com/realme-techlife-8-5-kg-semi-automatic-top-load-grey-black/p/itm192446e1808c5']]
731667,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey(RMFA75A5G),[['https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-fabric-safe-wash-fully-automatic-top-load-grey/p/itm048aca1726a71']]
